ORIGEM,ESCALA_1,ESCALA_2,ESCALA_3,ESCALA_4,ESCALA_5,ESCALA_6,DESTINO
ARACAJU,MACEIO,NULL,NULL,NULL,NULL,NULL,CAMPINAS
ARACAJU,NULL,NULL,NULL,NULL,NULL,NULL,MACEIO
ARACAJU,MACEIO,CAMPINAS,NULL,NULL,NULL,NULL,CUIABA
ARACAJU,MACEIO,CAMPINAS,NULL,NULL,NULL,NULL,GOIANIA
ARACAJU,MACEIO,CAMPINAS,NULL,NULL,NULL,NULL,BRASILIA
ARACAJU,CAMPINAS,NULL,NULL,NULL,NULL,NULL,CAMPO_GRANDE
ARACAJU,CAMPINAS,NULL,NULL,NULL,NULL,NULL,UBERABA
ARACAJU,CAMPINAS,NULL,NULL,NULL,NULL,NULL,RIBEIRAO_PRETO
ARACAJU,CAMPINAS,NULL,NULL,NULL,NULL,NULL,SAO_JOSE_DO_RIO_PRETO
ARACAJU,CAMPINAS,NULL,NULL,NULL,NULL,NULL,PRESIDENTE_PRUDENTE
ARACAJU,MACEIO,NULL,NULL,NULL,NULL,NULL,CONFINS
ARACAJU,SALVADOR,NULL,NULL,NULL,NULL,NULL,VITORIA
ARACAJU,MACEIO,CONFINS,NULL,NULL,NULL,NULL,CURITIBA
ARACAJU,CAMPINAS,NULL,NULL,NULL,NULL,NULL,JOINVILLE
ARACAJU,MACEIO,CAMPINAS,NULL,NULL,NULL,NULL,NAVEGANTES
ARACAJU,SALVADOR,CAMPINAS,NULL,NULL,NULL,NULL,FLORIANOPOLIS
ARACAJU,MACEIO,CONFINS,NULL,NULL,NULL,NULL,PORTO_ALEGRE
ARACATUBA,NULL,NULL,NULL,NULL,NULL,NULL,CAMPINAS
ARACATUBA,CAMPINAS,NULL,NULL,NULL,NULL,NULL,BRASILIA
BAURU,MARILIA,NULL,NULL,NULL,NULL,NULL,CAMPINAS
BAURU,NULL,NULL,NULL,NULL,NULL,NULL,MARILIA
BELEM,SANTAREM,ITAITUBA,NULL,NULL,NULL,NULL,MANAUS
BELEM,MARABA,CARAJAS,NULL,NULL,NULL,NULL,CONFINS
BELEM,FORTALEZA,TERESINA,NULL,NULL,NULL,NULL,SAO_LUIS
BELEM,NULL,NULL,NULL,NULL,NULL,NULL,FORTALEZA
BELEM,FORTALEZA,NULL,NULL,NULL,NULL,NULL,RECIFE
BELEM,FORTALEZA,RECIFE,NULL,NULL,NULL,NULL,SALVADOR
BELEM,FORTALEZA,RECIFE,SALVADOR,NULL,NULL,NULL,ILHEUS
BELEM,FORTALEZA,RECIFE,SALVADOR,NULL,NULL,NULL,VITORIA
BELEM,CONFINS,CAMPINAS,NULL,NULL,NULL,NULL,UBERABA
BELEM,MARABA,CONFINS,NULL,NULL,NULL,NULL,RIBEIRAO_PRETO
BELEM,MARABA,CONFINS,CAMPINAS,NULL,NULL,NULL,SAO_JOSE_DO_RIO_PRETO
BELEM,CONFINS,CAMPINAS,NULL,NULL,NULL,NULL,PRESIDENTE_PRUDENTE
BELEM,CONFINS,CAMPINAS,NULL,NULL,NULL,NULL,SAO_JOSE_DOS_CAMPOS
BELEM,MARABA,CONFINS,CAMPINAS,NULL,NULL,NULL,CURITIBA
BELEM,CONFINS,CAMPINAS,NULL,NULL,NULL,NULL,JOINVILLE
BELEM,MARABA,CONFINS,CAMPINAS,NULL,NULL,NULL,NAVEGANTES
BELEM,MARABA,CARAJAS,CONFINS,NULL,NULL,NULL,PORTO_ALEGRE
BELEM,CONFINS,NULL,NULL,NULL,NULL,NULL,CAMPINAS
BRASILIA,NULL,NULL,NULL,NULL,NULL,NULL,CONFINS
BRASILIA,NULL,NULL,NULL,NULL,NULL,NULL,CAMPINAS
BRASILIA,CONFINS,NULL,NULL,NULL,NULL,NULL,SAO_LUIS
BRASILIA,CAMPINAS,NULL,NULL,NULL,NULL,NULL,TERESINA
BRASILIA,CAMPINAS,NULL,NULL,NULL,NULL,NULL,FORTALEZA
BRASILIA,CAMPINAS,NULL,NULL,NULL,NULL,NULL,NATAL
BRASILIA,BARREIRAS,SALVADOR,NULL,NULL,NULL,NULL,RECIFE
BRASILIA,CAMPINAS,ILHEUS,NULL,NULL,NULL,NULL,MACEIO
BRASILIA,CAMPINAS,ILHEUS,MACEIO,NULL,NULL,NULL,ARACAJU
BRASILIA,CAMPINAS,NULL,NULL,NULL,NULL,NULL,SALVADOR
BRASILIA,CONFINS,NULL,NULL,NULL,NULL,NULL,PORTO_SEGURO
BRASILIA,CONFINS,NULL,NULL,NULL,NULL,NULL,VITORIA
BRASILIA,CAMPINAS,NULL,NULL,NULL,NULL,NULL,CUIABA
BRASILIA,UBERLANDIA,NULL,NULL,NULL,NULL,NULL,UBERABA
BRASILIA,CUIABA,CAMPO_GRANDE,NULL,NULL,NULL,NULL,RIBEIRAO_PRETO
BRASILIA,CAMPINAS,NULL,NULL,NULL,NULL,NULL,SAO_JOSE_DO_RIO_PRETO
BRASILIA,CAMPINAS,NULL,NULL,NULL,NULL,NULL,PRESIDENTE_PRUDENTE
BRASILIA,CUIABA,NULL,NULL,NULL,NULL,NULL,CAMPO_GRANDE
BRASILIA,CAMPINAS,CURITIBA,NULL,NULL,NULL,NULL,FOZ_DO_IGUACU
BRASILIA,CONFINS,NULL,NULL,NULL,NULL,NULL,CURITIBA
BRASILIA,CAMPINAS,NULL,NULL,NULL,NULL,NULL,JOINVILLE
BRASILIA,CAMPINAS,NULL,NULL,NULL,NULL,NULL,NAVEGANTES
BRASILIA,CAMPINAS,NULL,NULL,NULL,NULL,NULL,FLORIANOPOLIS
BRASILIA,CONFINS,NULL,NULL,NULL,NULL,NULL,PORTO_ALEGRE
CALDAS_NOVAS,NULL,NULL,NULL,NULL,NULL,NULL,GOIANIA
CALDAS_NOVAS,GOIANIA,NULL,NULL,NULL,NULL,NULL,CAMPINAS
CAMPINAS,BRASILIA,NULL,NULL,NULL,NULL,NULL,MANAUS
CAMPINAS,BRASILIA,BELEM,NULL,NULL,NULL,NULL,MANAUS
CAMPINAS,BRASILIA,BELEM,SANTAREM,NULL,NULL,NULL,MANAUS
CAMPINAS,NULL,NULL,NULL,NULL,NULL,NULL,PORTO_VELHO
CAMPINAS,CUIABA,PORTO_VELHO,NULL,NULL,NULL,NULL,PORTO_VELHO
CAMPINAS,RIO_DE_JANEIRO,BRASILIA,NULL,NULL,NULL,NULL,PORTO_VELHO
CAMPINAS,CUIABA,NULL,NULL,NULL,NULL,NULL,SINOP
CAMPINAS,GOIANIA,NULL,NULL,NULL,NULL,NULL,PALMAS
CAMPINAS,BRASILIA,NULL,NULL,NULL,NULL,NULL,PALMAS
CAMPINAS,CONFINS,BRASILIA,NULL,NULL,NULL,NULL,PALMAS
CAMPINAS,RIO_DE_JANEIRO,BRASILIA,NULL,NULL,NULL,NULL,PALMAS
CAMPINAS,NULL,NULL,NULL,NULL,NULL,NULL,BRASILIA
CAMPINAS,CONFINS,NULL,NULL,NULL,NULL,NULL,BRASILIA
CAMPINAS,RIO_DE_JANEIRO,NULL,NULL,NULL,NULL,NULL,BRASILIA
CAMPINAS,RIO_DE_JANEIRO,CONFINS,NULL,NULL,NULL,NULL,BRASILIA
CAMPINAS,CONFINS,NULL,NULL,NULL,NULL,NULL,GOIANIA
CAMPINAS,BRASILIA,NULL,NULL,NULL,NULL,NULL,GOIANIA
CAMPINAS,CONFINS,BRASILIA,NULL,NULL,NULL,NULL,GOIANIA
CAMPINAS,RIO_DE_JANEIRO,BRASILIA,NULL,NULL,NULL,NULL,GOIANIA
CAMPINAS,NULL,NULL,NULL,NULL,NULL,NULL,CUIABA
CAMPINAS,BRASILIA,NULL,NULL,NULL,NULL,NULL,CUIABA
CAMPINAS,RIO_DE_JANEIRO,BRASILIA,NULL,NULL,NULL,NULL,CUIABA
CAMPINAS,NULL,NULL,NULL,NULL,NULL,NULL,UBERLANDIA
CAMPINAS,CONFINS,NULL,NULL,NULL,NULL,NULL,UBERLANDIA
CAMPINAS,RIO_DE_JANEIRO,CONFINS,NULL,NULL,NULL,NULL,UBERLANDIA
CAMPINAS,NULL,NULL,NULL,NULL,NULL,NULL,UBERABA
CAMPINAS,NULL,NULL,NULL,NULL,NULL,NULL,RIBEIRAO_PRETO
CAMPINAS,BRASILIA,RIO_DE_JANEIRO,NULL,NULL,NULL,NULL,RIBEIRAO_PRETO
CAMPINAS,NULL,NULL,NULL,NULL,NULL,NULL,SAO_JOSE_DO_RIO_PRETO
CAMPINAS,BRASILIA,CUIABA,NULL,NULL,NULL,NULL,SAO_JOSE_DO_RIO_PRETO
CAMPINAS,NULL,NULL,NULL,NULL,NULL,NULL,CAMPO_GRANDE
CAMPINAS,BRASILIA,NULL,NULL,NULL,NULL,NULL,CAMPO_GRANDE
CAMPINAS,RIO_DE_JANEIRO,BRASILIA,NULL,NULL,NULL,NULL,CAMPO_GRANDE
CAMPINAS,NULL,NULL,NULL,NULL,NULL,NULL,MARILIA
CAMPINAS,BAURU,NULL,NULL,NULL,NULL,NULL,MARILIA
CAMPINAS,NULL,NULL,NULL,NULL,NULL,NULL,ARACATUBA
CAMPINAS,NULL,NULL,NULL,NULL,NULL,NULL,BAURU
CAMPINAS,MARILIA,NULL,NULL,NULL,NULL,NULL,BAURU
CAMPINAS,NULL,NULL,NULL,NULL,NULL,NULL,PRESIDENTE_PRUDENTE
CAMPINAS,NULL,NULL,NULL,NULL,NULL,NULL,LONDRINA
CAMPINAS,RIO_DE_JANEIRO,CURITIBA,NULL,NULL,NULL,NULL,LONDRINA
CAMPINAS,NULL,NULL,NULL,NULL,NULL,NULL,MARINGA
CAMPINAS,CURITIBA,NULL,NULL,NULL,NULL,NULL,MARINGA
CAMPINAS,NULL,NULL,NULL,NULL,NULL,NULL,CASCAVEL
CAMPINAS,CURITIBA,NULL,NULL,NULL,NULL,NULL,CASCAVEL
CAMPINAS,NULL,NULL,NULL,NULL,NULL,NULL,FOZ_DO_IGUACU
CAMPINAS,CURITIBA,NULL,NULL,NULL,NULL,NULL,FOZ_DO_IGUACU
CAMPINAS,RIO_DE_JANEIRO,NULL,NULL,NULL,NULL,NULL,FOZ_DO_IGUACU
CAMPINAS,RIO_DE_JANEIRO,CURITIBA,NULL,NULL,NULL,NULL,FOZ_DO_IGUACU
CAMPINAS,BRASILIA,CURITIBA,NULL,NULL,NULL,NULL,FOZ_DO_IGUACU
CAMPINAS,NULL,NULL,NULL,NULL,NULL,NULL,CURITIBA
CAMPINAS,RIO_DE_JANEIRO,NULL,NULL,NULL,NULL,NULL,CURITIBA
CAMPINAS,RIO_DE_JANEIRO,PORTO_ALEGRE,NULL,NULL,NULL,NULL,CURITIBA
CAMPINAS,NULL,NULL,NULL,NULL,NULL,NULL,CAXIAS_DO_SUL
CAMPINAS,CURITIBA,NULL,NULL,NULL,NULL,NULL,CAXIAS_DO_SUL
CAMPINAS,NULL,NULL,NULL,NULL,NULL,NULL,PORTO_ALEGRE
CAMPINAS,NAVEGANTES,NULL,NULL,NULL,NULL,NULL,PORTO_ALEGRE
CAMPINAS,RIO_DE_JANEIRO,NULL,NULL,NULL,NULL,NULL,PORTO_ALEGRE
CAMPINAS,RIO_DE_JANEIRO,FLORIANOPOLIS,NULL,NULL,NULL,NULL,PORTO_ALEGRE
CAMPINAS,NULL,NULL,NULL,NULL,NULL,NULL,NAVEGANTES
CAMPINAS,NULL,NULL,NULL,NULL,NULL,NULL,JOINVILLE
CAMPINAS,NULL,NULL,NULL,NULL,NULL,NULL,FLORIANOPOLIS
CAMPINAS,RIO_DE_JANEIRO,NULL,NULL,NULL,NULL,NULL,FLORIANOPOLIS
CAMPINAS,RIO_DE_JANEIRO,PORTO_ALEGRE,NULL,NULL,NULL,NULL,FLORIANOPOLIS
CAMPINAS,NULL,NULL,NULL,NULL,NULL,NULL,TERESINA
CAMPINAS,RECIFE,NULL,NULL,NULL,NULL,NULL,TERESINA
CAMPINAS,BRASILIA,NULL,NULL,NULL,NULL,NULL,TERESINA
CAMPINAS,CURITIBA,BRASILIA,NULL,NULL,NULL,NULL,TERESINA
CAMPINAS,CONFINS,SAO_LUIS,NULL,NULL,NULL,NULL,TERESINA
CAMPINAS,RIO_DE_JANEIRO,FORTALEZA,NULL,NULL,NULL,NULL,TERESINA
CAMPINAS,NULL,NULL,NULL,NULL,NULL,NULL,FORTALEZA
CAMPINAS,RIO_DE_JANEIRO,NULL,NULL,NULL,NULL,NULL,FORTALEZA
CAMPINAS,RIO_DE_JANEIRO,RECIFE,NULL,NULL,NULL,NULL,FORTALEZA
CAMPINAS,BRASILIA,RIO_DE_JANEIRO,NULL,NULL,NULL,NULL,FORTALEZA
CAMPINAS,NULL,NULL,NULL,NULL,NULL,NULL,JUAZEIRO_DO_NORTE
CAMPINAS,RECIFE,NULL,NULL,NULL,NULL,NULL,JUAZEIRO_DO_NORTE
CAMPINAS,CONFINS,RECIFE,NULL,NULL,NULL,NULL,JUAZEIRO_DO_NORTE
CAMPINAS,NULL,NULL,NULL,NULL,NULL,NULL,NATAL
CAMPINAS,RIO_DE_JANEIRO,NULL,NULL,NULL,NULL,NULL,NATAL
CAMPINAS,RECIFE,NULL,NULL,NULL,NULL,NULL,NATAL
CAMPINAS,CONFINS,FORTALEZA,NULL,NULL,NULL,NULL,NATAL
CAMPINAS,BRASILIA,RIO_DE_JANEIRO,NULL,NULL,NULL,NULL,NATAL
CAMPINAS,NULL,NULL,NULL,NULL,NULL,NULL,JOAO_PESSOA
CAMPINAS,SALVADOR,NULL,NULL,NULL,NULL,NULL,JOAO_PESSOA
CAMPINAS,BRASILIA,NULL,NULL,NULL,NULL,NULL,JOAO_PESSOA
CAMPINAS,NULL,NULL,NULL,NULL,NULL,NULL,RECIFE
CAMPINAS,CONFINS,NULL,NULL,NULL,NULL,NULL,RECIFE
CAMPINAS,BRASILIA,NULL,NULL,NULL,NULL,NULL,RECIFE
CAMPINAS,RIO_DE_JANEIRO,BRASILIA,NULL,NULL,NULL,NULL,RECIFE
CAMPINAS,NULL,NULL,NULL,NULL,NULL,NULL,MACEIO
CAMPINAS,RIO_DE_JANEIRO,NULL,NULL,NULL,NULL,NULL,MACEIO
CAMPINAS,ARACAJU,NULL,NULL,NULL,NULL,NULL,MACEIO
CAMPINAS,RIO_DE_JANEIRO,BRASILIA,NULL,NULL,NULL,NULL,MACEIO
CAMPINAS,NULL,NULL,NULL,NULL,NULL,NULL,ARACAJU
CAMPINAS,MACEIO,NULL,NULL,NULL,NULL,NULL,ARACAJU
CAMPINAS,BRASILIA,RECIFE,NULL,NULL,NULL,NULL,ARACAJU
CAMPINAS,NULL,NULL,NULL,NULL,NULL,NULL,SALVADOR
CAMPINAS,RIO_DE_JANEIRO,NULL,NULL,NULL,NULL,NULL,SALVADOR
CAMPINAS,VITORIA,NULL,NULL,NULL,NULL,NULL,SALVADOR
CAMPINAS,ILHEUS,NULL,NULL,NULL,NULL,NULL,SALVADOR
CAMPINAS,ILHEUS,NULL,NULL,NULL,NULL,NULL,SALVADOR
CAMPINAS,RIO_DE_JANEIRO,BRASILIA,NULL,NULL,NULL,NULL,SALVADOR
CAMPINAS,CONFINS,ILHEUS,NULL,NULL,NULL,NULL,SALVADOR
CAMPINAS,NULL,NULL,NULL,NULL,NULL,NULL,ILHEUS
CAMPINAS,CONFINS,NULL,NULL,NULL,NULL,NULL,ILHEUS
CAMPINAS,BRASILIA,RIO_DE_JANEIRO,NULL,NULL,NULL,NULL,ILHEUS
CAMPINAS,CONFINS,NULL,NULL,NULL,NULL,NULL,PORTO_SEGURO
CAMPINAS,RIO_DE_JANEIRO,CONFINS,NULL,NULL,NULL,NULL,PORTO_SEGURO
CAMPINAS,NULL,NULL,NULL,NULL,NULL,NULL,VITORIA
CAMPINAS,RIO_DE_JANEIRO,NULL,NULL,NULL,NULL,NULL,VITORIA
CAMPINAS,CONFINS,NULL,NULL,NULL,NULL,NULL,VITORIA
CAMPINAS,CONFINS,RIO_DE_JANEIRO,NULL,NULL,NULL,NULL,VITORIA
CAMPINAS,BRASILIA,RIO_DE_JANEIRO,NULL,NULL,NULL,NULL,VITORIA
CAMPINAS,NULL,NULL,NULL,NULL,NULL,NULL,CONFINS
CAMPINAS,RIO_DE_JANEIRO,NULL,NULL,NULL,NULL,NULL,CONFINS
CAMPINAS,BRASILIA,RIO_DE_JANEIRO,NULL,NULL,NULL,NULL,CONFINS
CAMPINAS,NULL,NULL,NULL,NULL,NULL,NULL,VITORIA
CAMPINAS,RIO_DE_JANEIRO,NULL,NULL,NULL,NULL,NULL,VITORIA
CAMPINAS,CONFINS,NULL,NULL,NULL,NULL,NULL,VITORIA
CAMPINAS,CONFINS,RIO_DE_JANEIRO,NULL,NULL,NULL,NULL,VITORIA
CAMPINAS,BRASILIA,RIO_DE_JANEIRO,NULL,NULL,NULL,NULL,VITORIA
CAMPINAS,BRASILIA,NULL,NULL,NULL,NULL,NULL,SANTOS_DUMONT
CAMPINAS,BRASILIA,CONFINS,NULL,NULL,NULL,NULL,SANTOS_DUMONT
CAMPINAS,NULL,NULL,NULL,NULL,NULL,NULL,GALEAO
CAMPINAS,BRASILIA,NULL,NULL,NULL,NULL,NULL,GALEAO
CAMPINAS,BRASILIA,CONFINS,NULL,NULL,NULL,NULL,GALEAO
CAMPINAS,CONFINS,NULL,NULL,NULL,NULL,NULL,SAO_JOSE_DOS_CAMPOS
CAMPINAS,RIO_DE_JANEIRO,NULL,NULL,NULL,NULL,NULL,SAO_JOSE_DOS_CAMPOS
CAMPINAS,CONFINS,NULL,NULL,NULL,NULL,NULL,SAO_LUIS
CAMPINAS,BRASILIA,NULL,NULL,NULL,NULL,NULL,SAO_LUIS
CAMPINAS,BRASILIA,IMPERATRIZ,NULL,NULL,NULL,NULL,SAO_LUIS
CAMPINAS,NULL,NULL,NULL,NULL,NULL,NULL,BELEM
CAMPINAS,CONFINS,NULL,NULL,NULL,NULL,NULL,BELEM
CAMPINAS,BRASILIA,NULL,NULL,NULL,NULL,NULL,BELEM
CAMPINAS,BRASILIA,MARABA,NULL,NULL,NULL,NULL,BELEM
CAMPO_GRANDE,NULL,NULL,NULL,NULL,NULL,NULL,CUIABA
CAMPO_GRANDE,BRASILIA,NULL,NULL,NULL,NULL,NULL,CUIABA
CAMPO_GRANDE,CONGONHAS,CUIABA,SAO_JOSE_DO_RIO_PRETO,NULL,NULL,NULL,CUIABA
CAMPO_GRANDE,NULL,NULL,NULL,NULL,NULL,NULL,CAMPINAS
CAMPO_GRANDE,RIO_DE_JANEIRO,NULL,NULL,NULL,NULL,NULL,CAMPINAS
CAMPO_GRANDE,BRASILIA,NULL,NULL,NULL,NULL,NULL,CAMPINAS
CAMPO_GRANDE,BRASILIA,RIO_DE_JANEIRO,NULL,NULL,NULL,NULL,CAMPINAS
CAMPO_GRANDE,NULL,NULL,NULL,NULL,NULL,NULL,CURITIBA
CAMPO_GRANDE,GUARULHOS,NULL,NULL,NULL,NULL,NULL,CURITIBA
CAMPO_GRANDE,CONGONHAS,NULL,NULL,NULL,NULL,NULL,CURITIBA
CAMPO_GRANDE,CAMPINAS,NULL,NULL,NULL,NULL,NULL,FORTALEZA
CAMPO_GRANDE,BRASILIA,NULL,NULL,NULL,NULL,NULL,FORTALEZA
CAMPO_GRANDE,GUARULHOS,NULL,NULL,NULL,NULL,NULL,FORTALEZA
CAMPO_GRANDE,BRASILIA,FORTALEZA,NULL,NULL,NULL,NULL,FORTALEZA
CAMPO_GRANDE,RIO_DE_JANEIRO,NULL,NULL,NULL,NULL,NULL,RECIFE
CAMPO_GRANDE,BRASILIA,NULL,NULL,NULL,NULL,NULL,RECIFE
CAMPO_GRANDE,CAMPINAS,NULL,NULL,NULL,NULL,NULL,RECIFE
CAMPO_GRANDE,BRASILIA,SAO_LUIS,FORTALEZA,NULL,NULL,NULL,RECIFE
CAMPO_GRANDE,GUARULHOS,GOIANIA,BRASILIA,NULL,NULL,NULL,RECIFE
CAMPO_GRANDE,GUARULHOS,NULL,NULL,NULL,NULL,NULL,MACEIO
CAMPO_GRANDE,RIO_DE_JANEIRO,NULL,NULL,NULL,NULL,NULL,MACEIO
CAMPO_GRANDE,BRASILIA,NULL,NULL,NULL,NULL,NULL,MACEIO
CAMPO_GRANDE,CAMPINAS,NULL,NULL,NULL,NULL,NULL,MACEIO
CAMPO_GRANDE,GUARULHOS,BRASILIA,NULL,NULL,NULL,NULL,MACEIO
CAMPO_GRANDE,GUARULHOS,SALVADOR,NULL,NULL,NULL,NULL,MACEIO
CAMPO_GRANDE,CAMPINAS,ARACAJU,NULL,NULL,NULL,NULL,MACEIO
CAMPO_GRANDE,GUARULHOS,BRASILIA,GOIANIA,NULL,NULL,NULL,MACEIO
CAMPO_GRANDE,GUARULHOS,NULL,NULL,NULL,NULL,NULL,ARACAJU
CAMPO_GRANDE,BRASILIA,NULL,NULL,NULL,NULL,NULL,ARACAJU
CAMPO_GRANDE,CAMPINAS,NULL,NULL,NULL,NULL,NULL,ARACAJU
CAMPO_GRANDE,GUARULHOS,RIO_DE_JANEIRO,NULL,NULL,NULL,NULL,ARACAJU
CAMPO_GRANDE,CAMPINAS,MACEIO,NULL,NULL,NULL,NULL,ARACAJU
CAMPO_GRANDE,RIO_DE_JANEIRO,NULL,NULL,NULL,NULL,NULL,SALVADOR
CAMPO_GRANDE,GUARULHOS,NULL,NULL,NULL,NULL,NULL,SALVADOR
CAMPO_GRANDE,CAMPINAS,NULL,NULL,NULL,NULL,NULL,SALVADOR
CAMPO_GRANDE,BRASILIA,NULL,NULL,NULL,NULL,NULL,SALVADOR
CAMPO_GRANDE,CONGONHAS,CONFINS,NULL,NULL,NULL,NULL,SALVADOR
CAMPO_GRANDE,RIO_DE_JANEIRO,NULL,NULL,NULL,NULL,NULL,VITORIA
CAMPO_GRANDE,CONGONHAS,NULL,NULL,NULL,NULL,NULL,VITORIA
CAMPO_GRANDE,RIO_DE_JANEIRO,MACAE,NULL,NULL,NULL,NULL,VITORIA
CAMPO_GRANDE,CONGONHAS,CONFINS,NULL,NULL,NULL,NULL,VITORIA
CAMPO_GRANDE,GUARULHOS,RIO_DE_JANEIRO,NULL,NULL,NULL,NULL,VITORIA
CAMPO_GRANDE,NULL,NULL,NULL,NULL,NULL,NULL,SANTOS_DUMONT
CAMPO_GRANDE,CAMPINAS,NULL,NULL,NULL,NULL,NULL,SANTOS_DUMONT
CAMPO_GRANDE,BRASILIA,NULL,NULL,NULL,NULL,NULL,SANTOS_DUMONT
CAMPO_GRANDE,CONGONHAS,NULL,NULL,NULL,NULL,NULL,SANTOS_DUMONT
CAMPO_GRANDE,NULL,NULL,NULL,NULL,NULL,NULL,GALEAO
CAMPO_GRANDE,CAMPINAS,NULL,NULL,NULL,NULL,NULL,GALEAO
CAMPO_GRANDE,GUARULHOS,NULL,NULL,NULL,NULL,NULL,GALEAO
CAMPO_GRANDE,BRASILIA,CAMPINAS,NULL,NULL,NULL,NULL,GALEAO
